type,query,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,text
RT,#texasblackout,CharlottesMimi1,141,407,0,37172,nikkifried,97462,1647,297,3492,RT @nikkifried: I wish godspeed to our brave Florida Forest Service wildland firefighters we have deployed to help Texans recover from the…
Tweet,#texasblackout,Zdendas1,739,529,4,2696,Zdendas1,97462,1647,297,3492,"Imagine not having power or drinking water and waking up to a $16,000 electric bill all because Republicans in your… https://t.co/2oqaZ4INLv"
RT,#texasblackout,Leslie1776,6269,6809,7,109764,MoseBuchele,4979,2765,188,11934,"RT @MoseBuchele: I just interviewed State Rep. @DonnaHowardTX, who serves on a committee holding one of the first #texasblackout hearings t…"
RT,#texasblackout,cmodowd,491,738,4,190253,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,IndyDeVoe,850,771,5,16744,DLBLLC,1267,1952,78,9569,RT @DLBLLC: During the #TexasBlackout older Texans &amp; Texans w/#disabilities (including children) were left behind without needed support re…
RT,#texasblackout,wearadamnmask01,189,2474,4,14392,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,ctztforester,1842,3021,50,43354,bradj_TX,1262,926,28,9279,"RT @bradj_TX: This footnote within the @PUCTX filing indicates that the other out-of-state @ERCOT_ISO board member, Vanessa Anesetti-Parra,…"
RT,#texasblackout,BlackAnswers1,521,1454,18,54806,libertytarian,127988,193,606,20900,"RT @libertytarian: No one was notified that energy prices had
skyrocketed  to 400 times the usual amount

Now Texans are getting hit w up t…"
RT,#texasblackout,RodolfoPlancart,133,337,16,12780,JavierBlas,99044,1283,2868,40277,"RT @JavierBlas: BREAKING: The chair, vice-chair and several other board members of Texas grid ERCOT have resigned | #TexasBlackout #Texas M…"
RT,#texasblackout,bluenote74,495,527,4,81353,Matt_VanDyke,383290,298202,1501,4742,"RT @Matt_VanDyke: Play political games with people's faith in elections, and the Capitol gets stormed.
Play political games with public uti…"
RT,#texasblackout,GAsandwich,7631,7925,2,19169,bradj_TX,1262,926,28,9279,"RT @bradj_TX: This footnote within the @PUCTX filing indicates that the other out-of-state @ERCOT_ISO board member, Vanessa Anesetti-Parra,…"
Tweet,#texasblackout,DLBLLC,1267,1952,78,9569,DLBLLC,1262,926,28,9279,"💠 CALL TO ACTION: #DisabledTexans submit your personal testimony about #TexasBlackout (experiences, problems, sugge… https://t.co/AhleTEpMbi"
RT,#texasblackout,GinaBiekman,37,174,0,1023,BrentSullivan,1117,1262,63,30427,RT @BrentSullivan: Hey @reliantenergy @GexaVoice @CirroEnergyTX @DirectEnergy @GreenMtnEnergy @TriEagle_Energy and the rest of Texas retail…
RT,#texasblackout,holyspacemonkey,2654,4483,15,56625,DLBLLC,1267,1952,78,9569,RT @DLBLLC: During the #TexasBlackout older Texans &amp; Texans w/#disabilities (including children) were left behind without needed support re…
RT,#texasblackout,Barbara_Y_Solis,499,2304,3,3515,edlavaCNN,28508,2215,516,20772,"RT @edlavaCNN: NEW: Good news for my #Austin friends, the city has lifted the boil water notice for all customers. #TexasBlackout"
RT,#texasblackout,Katj512,3804,4997,5,156112,MoseBuchele,4979,2765,188,11934,"RT @MoseBuchele: I just interviewed State Rep. @DonnaHowardTX, who serves on a committee holding one of the first #texasblackout hearings t…"
RT,#texasblackout,Godler_Bing,235,338,5,11593,toddschnitt,41439,638,311,30763,"RT @toddschnitt: Have you seen the #Texans who've been smacked with $17,000 home power bills for 3 days of service? Never, ever allow an au…"
RT,#texasblackout,Sherry59710441,48,771,0,46490,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,AnniesListTX,9851,1809,219,14070,MoseBuchele,4979,2765,188,11934,"RT @MoseBuchele: I just interviewed State Rep. @DonnaHowardTX, who serves on a committee holding one of the first #texasblackout hearings t…"
Tweet,#texasblackout,bradj_TX,1262,926,28,9279,bradj_TX,4979,2765,188,11934,"This footnote within the @PUCTX filing indicates that the other out-of-state @ERCOT_ISO board member, Vanessa Anese… https://t.co/GBtA1zG5Dp"
RT,#texasblackout,elvlado,122,218,2,1684,JavierBlas,99044,1283,2868,40277,"RT @JavierBlas: BREAKING: The chair, vice-chair and several other board members of Texas grid ERCOT have resigned | #TexasBlackout #Texas M…"
RT,#texasblackout,avi32_,1179,4054,0,87886,Simone_DeAlba,3200,2287,58,3082,"RT @Simone_DeAlba: BREAKING: ERCOT board members to resign after deadly winter storm that left millions without power.

Five board members…"
RT,#texasblackout,Elizabe29599604,442,972,1,103339,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,musicalcure,562,1052,0,30784,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,flightbomb,3360,2703,41,348639,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,SelsoAlcala,156,434,1,3186,jasonwheelertv,11568,2485,195,9865,RT @jasonwheelertv: These @ERCOT_ISO board members who have resigned are just the BEGINNING of the reckoning over last week's #TexasBlackou…
Tweet,#texasblackout,albermontmex,201,137,5,4837,albermontmex,11568,2485,195,9865,"Ovaciones | Reforma ahuyenta capitales y devalúa; oootro ridículo de CFE; recula ASF con el aeropuerto 

#CFE… https://t.co/LbqKDQKpKa"
RT,#texasblackout,docal68,809,730,0,30606,Matt_VanDyke,383290,298202,1501,4742,"RT @Matt_VanDyke: Play political games with people's faith in elections, and the Capitol gets stormed.
Play political games with public uti…"
RT,#texasblackout,AgustinSpecNews,258,948,3,1231,ShakariSBriggs,4769,3903,84,97211,RT @ShakariSBriggs: BREAKING NEWS: Multiple ERCOT board members have resigned in the wake of last week’s winter storm that left millions wi…
RT,#texasblackout,Javali24622633,1323,2131,1,6171,DrEricDing,438654,8058,5649,43131,"RT @DrEricDing: I think Texas needs new leaders... First Ted Cruz and now...

Texas’s Attorney General Ken Paxton and wife TX Senator Angel…"
RT,#texasblackout,paultxyz,193,273,2,3296,anasalhajji,70313,502,929,87944,"RT @anasalhajji: Wholesale resignations at ERCOT! 
#TexasBlackout"
Tweet,#texasblackout,ScottJourno,88,99,0,235,ScottJourno,70313,502,929,87944,"BREAKING: The chairman and four directors of ERCOT, the agency that runs Texas' electricity grid, have resigned aft… https://t.co/TxbMiRB7Q2"
RT,#texasblackout,SStark529,1625,2515,0,17186,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,jacktgraham,835,832,14,4686,meganrowling,10421,6279,563,26082,"RT @meganrowling: Despite regulators flagging the need for a more resilient power grid after a cold snap a decade ago, more than 4 million…"
RT,#texasblackout,rainydaycreole,499,2503,1,6365,lil_brown_bat,484,794,2,28526,"RT @lil_brown_bat: Remember who fed you when your Senators left town.

#TexasBlackout https://t.co/PqrWZzT5Gr"
Tweet,#texasblackout,ca5ual_0b5erver,65,658,4,1702,ca5ual_0b5erver,484,794,2,28526,"Hey @TexasGasService this is in no way acceptable. 
You’re really trying to sugar coat that you’re still planning o… https://t.co/ohygcNCbTb"
RT,#texasblackout,HeleneP2059,776,970,0,8697,DrEricDing,438654,8058,5649,43131,"RT @DrEricDing: I think Texas needs new leaders... First Ted Cruz and now...

Texas’s Attorney General Ken Paxton and wife TX Senator Angel…"
Tweet,#texasblackout,TexasWatch,2597,1341,112,8398,TexasWatch,438654,8058,5649,43131,We've compiled resources from across the state to help you protect life and property during the storm and in the we… https://t.co/Z1JTiVHbFK
Tweet,#texasblackout,solar_funds,531,973,10,372,solar_funds,438654,8058,5649,43131,The final cost of the blackouts will be measured in tens of billions of dollars and the blizzard of finger-pointing… https://t.co/WPf97PX16F
RT,#texasblackout,MiguelEAndujar,164,558,1,1239,JavierBlas,99044,1283,2868,40277,"RT @JavierBlas: BREAKING: The chair, vice-chair and several other board members of Texas grid ERCOT have resigned | #TexasBlackout #Texas M…"
Tweet,#texasblackout,DLBLLC,1267,1952,78,9569,DLBLLC,99044,1283,2868,40277,During the #TexasBlackout older Texans &amp; Texans w/#disabilities (including children) were left behind without neede… https://t.co/wyxlo8HcZp
RT,#texasblackout,Gizmo_D_Barber,673,1299,28,12064,jasonwheelertv,11568,2485,195,9865,RT @jasonwheelertv: These @ERCOT_ISO board members who have resigned are just the BEGINNING of the reckoning over last week's #TexasBlackou…
RT,#texasblackout,OldDetroitPunk,426,594,1,4192,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,AnotherPirate,243,1139,7,16139,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,kaur_jeeto,3445,4408,7,177901,lil_brown_bat,484,794,2,28526,"RT @lil_brown_bat: Remember who fed you when your Senators left town.

#TexasBlackout"
RT,#texasblackout,YNX212,709,926,55,89788,Simone_DeAlba,3200,2287,58,3082,"RT @Simone_DeAlba: BREAKING: ERCOT board members to resign after deadly winter storm that left millions without power.

Five board members…"
RT,#texasblackout,LolitaX1,149,616,0,14954,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,RonnieMotes8,668,3411,2,119617,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,GallegosJohn,31873,29851,28,42193,DrEricDing,438654,8058,5649,43131,"RT @DrEricDing: I think Texas needs new leaders... First Ted Cruz and now...

Texas’s Attorney General Ken Paxton and wife TX Senator Angel…"
RT,#texasblackout,travisbubenik,3439,2710,127,14066,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,FiHamza,162,279,2,13356,JavierBlas,99044,1283,2868,40277,"RT @JavierBlas: BREAKING: The chair, vice-chair and several other board members of Texas grid ERCOT have resigned | #TexasBlackout #Texas M…"
RT,#texasblackout,InvariantPersp1,2754,5000,66,32995,JavierBlas,99044,1283,2868,40277,"RT @JavierBlas: BREAKING: The chair, vice-chair and several other board members of Texas grid ERCOT have resigned | #TexasBlackout #Texas M…"
RT,#texasblackout,TXCapTonight,5177,950,177,13013,KarinaKling,5456,1513,205,12827,"RT @KarinaKling: NEW: four @ERCOT_ISO board members resign after last week's power outage. #txlege #txwx #TexasBlackout 

https://t.co/P9tT…"
RT,#texasblackout,patience_not,285,711,0,14914,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
Tweet,#texasblackout,CThreeGroup,935,2373,67,6387,CThreeGroup,800,945,22,2559,"Heads are starting to roll in the aftermath of #TexasBlackout #ERCOT 

https://t.co/m0QKeocbEb"
Tweet,#texasblackout,SteveBrant,3808,5001,289,231125,SteveBrant,800,945,22,2559,I hope @POTUS @VP understand #GOP DENIED RESPONSIBILITY for #TexasBlackout. Taking a #RealityBased approach to semi… https://t.co/32VTK33ehu
RT,#texasblackout,Noodleepoodlee1,405,1304,15,29716,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,wannabeunderwtr,56,641,1,10655,JavierBlas,99044,1283,2868,40277,"RT @JavierBlas: BREAKING: The chair, vice-chair and several other board members of Texas grid ERCOT have resigned | #TexasBlackout #Texas M…"
RT,#texasblackout,MaryCarper12,3831,4952,2,142761,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,Rrw19791849,5,123,0,7132,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,Ch3na0,1109,951,44,10983,ChrisCostaTV,3723,3430,77,18829,"RT @ChrisCostaTV: This includes Raymond Hepper, who worked for Central Maine Power for 11 years, @isonewengland for 14 years, as well as ot…"
RT,#texasblackout,BKatakis,103,282,0,4434,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,BeckhusenFrank,10,237,0,1489,JavierBlas,99044,1283,2868,40277,"RT @JavierBlas: BREAKING: The chair, vice-chair and several other board members of Texas grid ERCOT have resigned | #TexasBlackout #Texas M…"
RT,#texasblackout,SDinPraxis,2693,5000,46,83234,meganrowling,10421,6279,563,26082,"RT @meganrowling: Despite regulators flagging the need for a more resilient power grid after a cold snap a decade ago, more than 4 million…"
RT,#texasblackout,KatJanowicz,494,485,2,1244,KatJanowicz,494,485,2,1244,"RT @KatJanowicz: America and climate change – How America can rid itself of both carbon and blackouts https://t.co/thgBb9D2JE 

#ClimateCri…"
RT,#texasblackout,blueseung,67,78,0,1391,airallianceHOU,4316,1833,129,12920,"RT @airallianceHOU: NEWS RELEASE: Millions of Pounds of Air Pollution Released Because of Grid Failure, Freeze in Texas

https://t.co/B9dHc…"
RT,#texasblackout,thierry_bros,1730,249,57,5123,JavierBlas,99044,1283,2868,40277,"RT @JavierBlas: BREAKING: The chair, vice-chair and several other board members of Texas grid ERCOT have resigned | #TexasBlackout #Texas M…"
RT,#texasblackout,TeckieGirl,5521,3304,324,520183,jasonwheelertv,11568,2485,195,9865,RT @jasonwheelertv: These @ERCOT_ISO board members who have resigned are just the BEGINNING of the reckoning over last week's #TexasBlackou…
RT,#texasblackout,fliptopbox13,381,334,14,19725,KPRC2Aaron,2299,1060,101,15534,"RT @KPRC2Aaron: #BREAKING: 4 @ERCOT_ISO board members sign resignation letter, acknowledging ""pain and suffering of Texans"" and ""tragic con…"
RT,#texasblackout,deraeme,234,644,1,37192,davejourno,1056,51,23,3064,"RT @davejourno: The #TexasBlackout power bill lawsuits are here. Lisa Khoury, of Mont Belvieu, just sued @GoGriddy in Harris County over a…"
RT,#texasblackout,cameronjohnoli1,153,4999,0,40038,KPRC2Aaron,2299,1060,101,15534,"RT @KPRC2Aaron: #BREAKING: 4 @ERCOT_ISO board members sign resignation letter, acknowledging ""pain and suffering of Texans"" and ""tragic con…"
Tweet,#texasblackout,FloGrownPatriot,934,998,16,34983,FloGrownPatriot,2299,1060,101,15534,THE SUPREME COURT CAN ORDER AN AUDIT OF PRESIDENT TRUMP’S TAXES BUT NOT THE RESULTS OF THE 2020 ELECTION.… https://t.co/mvWgEajnul
Tweet,#texasblackout,KPRC2Aaron,2299,1060,101,15534,KPRC2Aaron,2299,1060,101,15534,"#BREAKING: 4 @ERCOT_ISO board members sign resignation letter, acknowledging ""pain and suffering of Texans"" and ""tr… https://t.co/HeYZBwd0ZM"
RT,#texasblackout,Piercynn,185,412,0,649,CAPJR100,137,72,7,17294,RT @CAPJR100: Do you know why we can fly a helicopter on Mars and they don't have electricity or water in Texas? Scientists are in charge o…
Tweet,#texasblackout,FloGrownPatriot,934,998,16,34983,FloGrownPatriot,137,72,7,17294,THE SUPREME COURT CAN ORDER AN AUDIT OF PRESIDENT TRUMP’S TAXES BUT NOT THE RESULTS OF THE 2020 ELECTION.… https://t.co/MqYafgHBEz
RT,#texasblackout,TarrantSouth,59,392,0,3329,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
Tweet,#texasblackout,FloGrownPatriot,934,998,16,34983,FloGrownPatriot,800,945,22,2559,THE SUPREME COURT CAN ORDER AN AUDIT OF PRESIDENT TRUMP’S TAXES BUT NOT THE RESULTS OF THE 2020 ELECTION.… https://t.co/yib3ief5x0
RT,#texasblackout,michelle11141,223,240,2,83420,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,TrumpNewsPolls,6471,677,20,57255,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
Tweet,#texasblackout,curtquin,884,2080,0,10648,curtquin,800,945,22,2559,#AOC #TedFled #TedCruzFailedTexas #TexasBlackout #texaswinterstorm and there you have it 👇👇👇👇 https://t.co/XCDIYxSzYU
Tweet,#texasblackout,FloGrownPatriot,934,998,16,34983,FloGrownPatriot,800,945,22,2559,THE SUPREME COURT CAN ORDER AN AUDIT OF PRESIDENT TRUMP’S TAXES BUT NOT THE RESULTS OF THE 2020 ELECTION.… https://t.co/MprLrwdNla
RT,#texasblackout,TallyAnnaE,5532,6081,16,583637,Matt_VanDyke,383290,298202,1501,4742,"RT @Matt_VanDyke: Play political games with people's faith in elections, and the Capitol gets stormed.
Play political games with public uti…"
RT,#texasblackout,MariceWoodruff,17,99,0,1925,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
Tweet,#texasblackout,ZenInHouston,1076,473,76,30519,ZenInHouston,800,945,22,2559,5 ERCOT board members resigned. I wonder why? Because you screwed everyone in Texas and now don't want to be associ… https://t.co/xGcvCPsuWL
Tweet,#texasblackout,DreamingDrama_,876,1132,2,25072,DreamingDrama_,800,945,22,2559,"the internet is immortal...
#texaswinterstorm #TexasBlackout #GOPCorruptionOverCountry https://t.co/R0GkRpJVP8"
RT,#texasblackout,1jasliz,2547,3111,18,397650,NRDC,342415,3766,7573,97885,RT @NRDC: We must ensure that short-term corporate profits don’t come at the expense of public safety and health or at the price of persona…
RT,#texasblackout,Lasher0408,3599,4074,0,6378,Matt_VanDyke,383290,298202,1501,4742,"RT @Matt_VanDyke: Play political games with people's faith in elections, and the Capitol gets stormed.
Play political games with public uti…"
Tweet,#texasblackout,CathyCeekay,266,38,28,44849,CathyCeekay,383290,298202,1501,4742,#Texasblackout #Ercot https://t.co/UeOwmajrWL
RT,#texasblackout,Tashica4,150,914,1,257063,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,Annamariatrees,129,71,7,34886,Matt_VanDyke,383290,298202,1501,4742,"RT @Matt_VanDyke: Play political games with people's faith in elections, and the Capitol gets stormed.
Play political games with public uti…"
Tweet,#texasblackout,DemsArePoison,36,58,1,765,DemsArePoison,383290,298202,1501,4742,THE SUPREME COURT CAN ORDER AN AUDIT OF PRESIDENT TRUMP’S TAXES BUT NOT THE RESULTS OF THE 2020 ELECTION.… https://t.co/y5OodqgXPY
Tweet,#texasblackout,chrisnunley,11738,3901,28,7245,chrisnunley,383290,298202,1501,4742,Four ERCOT board members have resigned in the wake of last week’s power-grid failure in Texas. Resignations will of… https://t.co/0puibWQsks
RT,#texasblackout,kate_littleton,3517,4861,8,330184,DrEricDing,438654,8058,5649,43131,"RT @DrEricDing: I think Texas needs new leaders... First Ted Cruz and now...

Texas’s Attorney General Ken Paxton and wife TX Senator Angel…"
Tweet,#texasblackout,StarkSPT,2,50,0,3,StarkSPT,438654,8058,5649,43131,"So, I believe the question that leads to the best solution is, ""How do we fix the heart issue?""

#charity #Texas… https://t.co/cP5SvBkrV3"
Tweet,#texasblackout,ExposeBlueSpin,58,83,3,1419,ExposeBlueSpin,438654,8058,5649,43131,THE SUPREME COURT CAN ORDER AN AUDIT OF PRESIDENT TRUMP’S TAXES BUT NOT THE RESULTS OF THE 2020 ELECTION.… https://t.co/rvrjlb0EkF
RT,#texasblackout,MichaelEWebber,7803,1428,240,27571,GQenergy,4126,3429,221,10310,RT @GQenergy: Jackie Sargent(@AustinEnergyGM) and Paula Gold-Williams(@cpsenergy) &amp; their teams - management and union - led from the front…
Tweet,#texasblackout,footballforevr1,106,637,0,8505,footballforevr1,4126,3429,221,10310,@Sherstar @jdforward Oh please don't forget @DanPatrick who said seniors should be willing to die for the economy a… https://t.co/6KhcMuRs1q
Tweet,#texasblackout,NRDC,342415,3766,7573,97885,NRDC,4126,3429,221,10310,We must ensure that short-term corporate profits don’t come at the expense of public safety and health or at the pr… https://t.co/Vej8AcCOsR
RT,#texasblackout,Mashua,2765,2188,93,39847,jasonwheelertv,11568,2485,195,9865,RT @jasonwheelertv: These @ERCOT_ISO board members who have resigned are just the BEGINNING of the reckoning over last week's #TexasBlackou…
Tweet,#texasblackout,jasonwheelertv,11568,2485,195,9865,jasonwheelertv,11568,2485,195,9865,These @ERCOT_ISO board members who have resigned are just the BEGINNING of the reckoning over last week's… https://t.co/IFxBT8qOYa
Tweet,#texasblackout,FloGrownPatriot,934,998,16,34983,FloGrownPatriot,11568,2485,195,9865,THE SUPREME COURT CAN ORDER AN AUDIT OF PRESIDENT TRUMP’S TAXES BUT NOT THE RESULTS OF THE 2020 ELECTION.… https://t.co/l9Brulzxgb
RT,#texasblackout,moxiepassion,781,2314,2,140031,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,EASpenser,355,541,1,102074,Cargas7,2639,2954,59,3822,"RT @Cargas7: A good start to holding elected and appointed officials accountable...
#TexasBlackout 
#TexasFreeze 
#ERCOTFail https://t.co/G…"
RT,#texasblackout,_AnthonyMedici,130,948,0,8002,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,jimmy_jarkarta,316,787,196,278353,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,HCiavotto,2325,3030,4,75078,Matt_VanDyke,383290,298202,1501,4742,"RT @Matt_VanDyke: Play political games with people's faith in elections, and the Capitol gets stormed.
Play political games with public uti…"
RT,#texasblackout,nicolesamm_,192,125,0,11336,Simone_DeAlba,3200,2287,58,3082,"RT @Simone_DeAlba: BREAKING: ERCOT board members to resign after deadly winter storm that left millions without power.

Five board members…"
RT,#texasblackout,monthly,11816,1847,484,37787,Cargas7,2639,2954,59,3822,"RT @Cargas7: A good start to holding elected and appointed officials accountable...
#TexasBlackout 
#TexasFreeze 
#ERCOTFail"
RT,#texasblackout,nikicth,100,339,6,30674,nikkifried,97462,1647,297,3492,RT @nikkifried: I wish godspeed to our brave Florida Forest Service wildland firefighters we have deployed to help Texans recover from the…
RT,#texasblackout,VedehiMajumdar,1219,1315,77,764439,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,SWaddellTV,1493,1321,29,12682,KPRC2Aaron,2299,1060,101,15534,"RT @KPRC2Aaron: #BREAKING: 4 @ERCOT_ISO board members resigning following grid failure that left millions of Texans without power &amp; water,…"
Tweet,#texasblackout,mtjohnson51,2853,4911,33,28564,mtjohnson51,2299,1060,101,15534,"Newsflash, not everyone gets Christianity  or goes to Heaven.  #TuesdayThoughts  #amblogging  #christianblogs… https://t.co/sTtTg8dPe4"
RT,#texasblackout,bananasinhavana,182,1649,1,211606,davejourno,1056,51,23,3064,"RT @davejourno: The #TexasBlackout power bill lawsuits are here. Lisa Khoury, of Mont Belvieu, just sued @GoGriddy in Harris County over a…"
RT,#texasblackout,DCHope2018,104,1055,1,73333,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,Sttephaniee,1115,2122,21,112050,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,ASidweber,5858,5857,6,130967,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,2525events,146,444,1,2018,Pieta05906150,172,331,0,1372,"RT @Pieta05906150: #America 
#texaspoweroutage #TexasBlackout 

Is this what you meant by “God gives us the tools to help ourselves” #TimBo…"
RT,#texasblackout,momisaverb,1307,2519,49,85132,Simone_DeAlba,3200,2287,58,3082,"RT @Simone_DeAlba: BREAKING: ERCOT board members to resign after deadly winter storm that left millions without power.

Five board members…"
RT,#texasblackout,johnnyrotten23,618,767,30,98242,Simone_DeAlba,3200,2287,58,3082,"RT @Simone_DeAlba: BREAKING: ERCOT board members to resign after deadly winter storm that left millions without power.

Five board members…"
RT,#texasblackout,stetson_hogue,203,407,2,4742,JavierBlas,99044,1283,2868,40277,"RT @JavierBlas: BREAKING: The chair, vice-chair and several other board members of Texas grid ERCOT have resigned | #TexasBlackout #Texas M…"
Tweet,#texasblackout,bunnyplayshere,58,86,1,3825,bunnyplayshere,99044,1283,2868,40277,I am seeing some of the heads of ERCOT are resigning.. this is just the first of many steps that need to happen to… https://t.co/uHCXvPo5cd
RT,#texasblackout,Scotty_Doo_Wop,205,639,10,16699,JavierBlas,99044,1283,2868,40277,"RT @JavierBlas: BREAKING: The chair, vice-chair and several other board members of Texas grid ERCOT have resigned | #TexasBlackout #Texas M…"
RT,#texasblackout,benoitmortier1,993,658,256,131480,DrEricDing,438654,8058,5649,43131,"RT @DrEricDing: I think Texas needs new leaders... First Ted Cruz and now...

Texas’s Attorney General Ken Paxton and wife TX Senator Angel…"
RT,#texasblackout,esau12saenz,642,1114,10,15565,JavierBlas,99044,1283,2868,40277,"RT @JavierBlas: BREAKING: The chair, vice-chair and several other board members of Texas grid ERCOT have resigned | #TexasBlackout #Texas M…"
Tweet,#texasblackout,reflection_semi,58,630,0,5603,reflection_semi,99044,1283,2868,40277,#TexasBlackout @GregAbbott_TX @DanCrenshawTX @SenTedCruz @LouieGohmertTX1 imagine if we were talking about a nuclea… https://t.co/tp8Wue6Pyo
RT,#texasblackout,mjcaswell,1419,1394,7,249808,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
Tweet,#texasblackout,PatrikAskPM,3023,3840,48,11270,PatrikAskPM,800,945,22,2559,"“Dad, why are you pinning this on us? It’s not like grandpa ever blamed you for the JFK assassination!”

#TedCruz… https://t.co/zwHwWbzi73"
RT,#texasblackout,kardelendekahve,357,5003,0,59627,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,DontSayItEddie,458,2184,24,61770,Simone_DeAlba,3200,2287,58,3082,"RT @Simone_DeAlba: BREAKING: ERCOT board members to resign after deadly winter storm that left millions without power.

Five board members…"
RT,#texasblackout,Kc_indep_lady,587,2443,1,156992,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
RT,#texasblackout,Hsquared_Studio,3462,3639,127,74018,cam_langford,800,945,22,2559,"RT @cam_langford: ERCOT was just hit with a class action over #TexasBlackout. The lead plaintiff wants to represent, “All retail customers…"
